director_name,director_name,proportion
George Lucas,5,0.13312034078807242
George Miller,6,0.1597444089456869
George Nolfi,1,0.026624068157614485
George P. Cosmatos,3,0.07987220447284345
George Ratliff,1,0.026624068157614485
George Roy Hill,2,0.05324813631522897
George Sidney,1,0.026624068157614485
George Stevens,1,0.026624068157614485
George Tillman Jr.,4,0.10649627263045794
Gil Junger,2,0.05324813631522897
Gil Kenan,2,0.05324813631522897
Gilles Paquet-Brenner,1,0.026624068157614485
Gillian Armstrong,2,0.05324813631522897
Gina Prince-Bythewood,2,0.05324813631522897
Giuseppe Tornatore,1,0.026624068157614485
Glen Morgan,2,0.05324813631522897
Glenn Ficarra,3,0.07987220447284345
Gonzalo López-Gallego,1,0.026624068157614485
Goran Dukic,1,0.026624068157614485
Gordon Chan,1,0.026624068157614485
Gore Verbinski,7,0.1863684771033014
Graham Annable,1,0.026624068157614485
Grant Heslov,1,0.026624068157614485
Greg Berlanti,1,0.026624068157614485
Greg Coolidge,1,0.026624068157614485
Greg Harrison,2,0.05324813631522897
Greg Mottola,2,0.05324813631522897
Gregor Jordan,1,0.026624068157614485
Gregory Hoblit,3,0.07987220447284345
Gregory Jacobs,1,0.026624068157614485
Gregory Nava,1,0.026624068157614485
Gregory Poirier,1,0.026624068157614485
Gregory Widen,1,0.026624068157614485
Griffin Dunne,1,0.026624068157614485
Guillaume Canet,2,0.05324813631522897
Guillermo del Toro,5,0.13312034078807242
Gurinder Chadha,2,0.05324813631522897
Gus Van Sant,6,0.1597444089456869
Guy Hamilton,4,0.10649627263045794
Guy Ritchie,8,0.21299254526091588
Gérard Krawczyk,1,0.026624068157614485
Hal Haberman,1,0.026624068157614485
Hal Needham,1,0.026624068157614485
Ham Tran,1,0.026624068157614485
Hans Canosa,1,0.026624068157614485
Harald Zwart,2,0.05324813631522897
Hark Tsui,1,0.026624068157614485
Harley Cokeliss,1,0.026624068157614485
Harmony Korine,1,0.026624068157614485
Harold Becker,5,0.13312034078807242
Harold Cronk,1,0.026624068157614485
Harold Ramis,8,0.21299254526091588
Harry Beaumont,1,0.026624068157614485
Harry Elfont,2,0.05324813631522897
Hart Bochner,1,0.026624068157614485
Hayao Miyazaki,4,0.10649627263045794
Henry Alex Rubin,1,0.026624068157614485
Henry Bean,1,0.026624068157614485
Henry Hobson,1,0.026624068157614485
Henry Joost,2,0.05324813631522897
Henry Koster,1,0.026624068157614485
Henry Selick,2,0.05324813631522897
Herbert Ross,2,0.05324813631522897
Hironobu Sakaguchi,1,0.026624068157614485
Hitoshi Matsumoto,1,0.026624068157614485
Howard Deutch,3,0.07987220447284345
Howard Zieff,2,0.05324813631522897
Hoyt Yeatman,1,0.026624068157614485
Hsiao-Hsien Hou,1,0.026624068157614485
Huck Botko,1,0.026624068157614485
Hue Rhodes,1,0.026624068157614485
Hugh Hudson,2,0.05324813631522897
Hugh Johnson,1,0.026624068157614485
Hugh Wilson,4,0.10649627263045794
Hunter Richards,1,0.026624068157614485
Hyung-rae Shim,2,0.05324813631522897
Iain Softley,4,0.10649627263045794
Ice Cube,1,0.026624068157614485
Igor Kovalyov,1,0.026624068157614485
Ira Sachs,1,0.026624068157614485
Irvin Kershner,2,0.05324813631522897
Irwin Winkler,4,0.10649627263045794
Isabel Coixet,1,0.026624068157614485
István Szabó,1,0.026624068157614485
Ivan Reitman,8,0.21299254526091588
J Blakeson,1,0.026624068157614485
J.A. Bayona,2,0.05324813631522897
J.B. Rogers,2,0.05324813631522897
J.C. Chandor,2,0.05324813631522897
